,OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
5952,5981,Campfire,WA,7/18/2005,7/18/2005,2005,0.1,47.26888889,-121.17888889999999,0
5969,5998,Lightning,WA,6/19/2005,6/19/2005,2005,0.1,47.7425,-121.1425,0
6977,6007,Equipment Use,WA,9/9/2005,9/9/2005,2005,0.1,46.67388889,-121.08444440000001,0
6980,6010,Miscellaneous,WA,7/30/2005,8/1/2005,2005,1.5,46.88027778,-121.27416670000001,2
6982,6012,Smoking,WA,8/22/2005,8/22/2005,2005,0.1,47.02694444,-121.1525,0
6987,6017,Miscellaneous,WA,7/3/2005,7/3/2005,2005,0.1,46.87333333,-121.0602778,0
6988,6018,Campfire,WA,8/14/2005,8/14/2005,2005,0.1,46.63944444,-121.24944440000002,0
6991,6021,Arson,WA,7/28/2005,7/28/2005,2005,2.5,46.60833333,-121.16916670000002,0
6992,6022,Campfire,WA,6/4/2005,6/4/2005,2005,0.1,46.85,-121.00861110000001,0
6999,6029,Campfire,WA,5/28/2005,5/28/2005,2005,0.1,46.64083333,-121.065,0
7004,6034,Equipment Use,WA,7/8/2005,7/8/2005,2005,1.6,47.76666667,-120.0936111,0
7008,6038,Equipment Use,WA,7/27/2005,7/27/2005,2005,2.0,47.77027778,-120.16916670000002,0
7010,6040,Campfire,WA,3/23/2005,3/23/2005,2005,0.1,47.38472222,-120.4861111,0
7013,6043,Equipment Use,WA,4/26/2005,4/26/2005,2005,0.01,47.50305556,-120.6561111,0
7029,6059,Campfire,WA,8/22/2005,8/23/2005,2005,0.1,46.86944444,-121.30444440000001,1
7031,6061,Smoking,WA,8/28/2005,8/28/2005,2005,0.1,47.10555556,-121.2672222,0
7032,6062,Miscellaneous,WA,8/14/2005,8/14/2005,2005,0.1,46.88111111,-121.27138889999999,0
7034,6064,Debris Burning,WA,4/9/2005,4/10/2005,2005,1.0,47.38472222,-120.4861111,1
7036,6066,Lightning,WA,5/26/2005,5/26/2005,2005,2.1,47.41333333,-120.46583329999999,0
7038,6068,Miscellaneous,WA,6/10/2005,6/10/2005,2005,0.1,47.36916667,-120.5891667,0
7042,6072,Lightning,WA,6/21/2005,6/21/2005,2005,0.2,47.94027778,-120.66027779999999,0
7043,6073,Lightning,WA,6/21/2005,6/23/2005,2005,0.25,47.91333333,-120.66,2
7045,6075,Lightning,WA,6/21/2005,6/23/2005,2005,0.33,47.90972222,-120.6652778,2
7046,6076,Lightning,WA,6/21/2005,6/22/2005,2005,0.2,47.86305556,-120.8361111,1
7048,6078,Lightning,WA,6/21/2005,6/22/2005,2005,0.1,47.85305556,-120.8977778,1
7050,6080,Lightning,WA,6/21/2005,6/24/2005,2005,0.5,47.92555556,-120.94027779999999,3
7053,6083,Lightning,WA,6/21/2005,6/24/2005,2005,0.1,47.91138889,-120.94027779999999,3
7054,6084,Campfire,WA,10/24/2005,10/24/2005,2005,0.1,47.81055556,-120.68361110000001,0
7056,6086,Lightning,WA,6/21/2005,6/22/2005,2005,0.25,47.96888889,-120.69972220000001,1
7058,6088,Miscellaneous,WA,6/29/2005,6/29/2005,2005,0.1,47.83611111,-120.6536111,0
7059,6089,Lightning,WA,6/21/2005,6/22/2005,2005,0.1,47.95138889,-120.67055559999999,1
7062,6092,Miscellaneous,WA,7/30/2005,10/24/2005,2005,1150.0,47.83722222,-120.8052778,86
7067,6097,Campfire,WA,8/5/2005,8/6/2005,2005,0.1,47.51833333,-120.8675,1
7068,6098,Lightning,WA,6/19/2005,6/19/2005,2005,0.1,47.41972222,-120.65444440000002,0
7072,6102,Miscellaneous,WA,8/14/2005,8/15/2005,2005,0.1,47.82888889,-120.70833329999999,1
7074,6104,Lightning,WA,6/21/2005,6/22/2005,2005,0.1,47.99638889,-120.6977778,1
7075,6105,Campfire,WA,8/24/2005,8/24/2005,2005,0.1,47.75027778,-121.01777779999999,0
7078,6108,Arson,WA,7/16/2005,7/16/2005,2005,0.1,47.78555556,-120.6502778,0
7079,6109,Campfire,WA,8/29/2005,8/30/2005,2005,0.01,47.45944444,-120.68194440000002,1
7083,6113,Campfire,WA,9/24/2005,9/24/2005,2005,0.1,47.9525,-120.94083329999998,0
7085,6115,Campfire,WA,9/25/2005,9/26/2005,2005,2.2,47.65833333,-120.5075,1
8060,8095,Lightning,WA,5/19/2006,5/23/2006,2006,0.1,46.01027778,-117.9802778,4
8284,8320,Miscellaneous,WA,6/17/2006,6/17/2006,2006,0.1,45.68666667,-121.9711111,0
8290,8326,Miscellaneous,WA,6/8/2006,6/8/2006,2006,1.6,45.70972222,-121.2875,0
8294,8330,Railroad,WA,5/3/2006,5/3/2006,2006,0.4,45.69972222,-122.7247222,0
8295,8331,Miscellaneous,WA,6/18/2006,6/18/2006,2006,801.0,45.67277778,-120.8797222,0
8703,8739,Lightning,WA,7/5/2006,7/6/2006,2006,0.1,48.80083333,-117.08944440000002,1
8938,8974,Lightning,WA,7/6/2006,7/6/2006,2006,0.1,46.11111111,-117.57805559999998,0
8943,8979,Lightning,WA,7/6/2006,7/6/2006,2006,0.1,46.11166667,-117.4886111,0
8944,8980,Lightning,WA,7/7/2006,7/7/2006,2006,0.1,46.10833333,-117.70833329999999,0
8945,8981,Lightning,WA,7/7/2006,7/7/2006,2006,0.1,46.18333333,-117.4886111,0
9128,9164,Lightning,WA,7/21/2006,7/22/2006,2006,0.25,46.12777778,-117.55583329999999,1
9415,9451,Campfire,WA,7/17/2006,7/17/2006,2006,0.1,45.87694444,-121.8252778,0
9419,9455,Campfire,WA,7/8/2006,7/8/2006,2006,0.1,46.11888889,-121.71694440000002,0
9500,9536,Smoking,WA,5/21/2006,5/21/2006,2006,0.1,45.81111111,-121.94305559999998,0
9504,9540,Campfire,WA,5/21/2006,5/21/2006,2006,0.1,45.97222222,-121.6513889,0
9595,9631,Miscellaneous,WA,7/29/2006,7/29/2006,2006,0.1,45.62583333,-122.0227778,0
9606,9642,Smoking,WA,7/29/2006,7/29/2006,2006,0.1,45.95277778,-121.73805559999998,0
9619,9655,Miscellaneous,WA,7/23/2006,7/23/2006,2006,1.1,45.70916667,-121.4061111,0
9986,11022,Lightning,WA,7/4/2006,7/4/2006,2006,0.1,45.76472222,-121.21333329999999,0
9992,11028,Smoking,WA,8/7/2006,8/7/2006,2006,0.2,45.69861111,-121.4147222,0
10004,11040,Miscellaneous,WA,7/3/2006,7/3/2006,2006,0.1,45.70138889,-121.74,0
10077,11113,Lightning,WA,7/3/2006,7/3/2006,2006,0.25,48.70888889,-118.6088889,0
10084,11120,Lightning,WA,7/6/2006,7/6/2006,2006,0.1,48.69527778,-118.5227778,0
10085,11121,Lightning,WA,7/6/2006,7/6/2006,2006,0.1,48.98194444,-118.68583329999998,0
10093,11129,Lightning,WA,8/8/2006,8/10/2006,2006,0.1,46.09722222,-117.35972220000001,2
10094,11130,Lightning,WA,8/8/2006,8/10/2006,2006,0.1,46.09722222,-117.36305559999998,2
10099,11135,Lightning,WA,8/11/2006,8/12/2006,2006,0.1,46.15861111,-117.74583329999999,1
10129,11165,Lightning,WA,7/31/2006,7/31/2006,2006,0.25,48.97305556,-118.62166670000002,0
10131,11167,Lightning,WA,8/10/2006,8/11/2006,2006,0.1,48.81361111,-118.5461111,1
10146,11182,Lightning,WA,8/23/2006,8/23/2006,2006,0.3,48.53166667,-118.61861110000001,0
10180,11216,Lightning,WA,8/10/2006,8/11/2006,2006,0.1,46.19833333,-117.76666670000002,1
10431,11467,Campfire,WA,4/24/2006,4/25/2006,2006,20.0,48.97194444,-117.9225,1
10454,11490,Lightning,WA,8/10/2006,8/10/2006,2006,0.1,46.08611111,-117.86944440000002,0
10482,11518,Smoking,WA,8/27/2006,8/27/2006,2006,2.0,45.64166667,-121.9777778,0
10484,11520,Lightning,WA,8/11/2006,8/11/2006,2006,0.3,46.17638889,-117.62444440000002,0
10485,11521,Lightning,WA,8/11/2006,8/11/2006,2006,0.1,46.12388889,-117.69333329999999,0
10488,11524,Lightning,WA,8/11/2006,8/12/2006,2006,0.1,46.07972222,-117.9597222,1
10502,11538,Lightning,WA,8/16/2006,8/16/2006,2006,0.1,46.00888889,-117.91944440000002,0
